date,City,State,Dead,Injured,Total,Description
"November 20, 2021",Berwyn,Illinois,0,4,4,Four people were wounded at a local bar in the early morning.
"November 18, 2021",Cambridge,Maryland,1,3,4,"One teen was killed, and three other teens were wounded in two separate but related shootings on the same block."
"November 17, 2021",East St. Louis ,Illinois,1,3,4,A man was killed and three others wounded in an afternoon shooting.
"November 17, 2021",New York City ,New York,0,4,4,Two adults and two teens were wounded in a potentially targeted drive-by in Williamsbridge.
"November 17, 2021",Newburgh,New York,0,4,4,Four teens were shot during a gunfight near a high school.
"November 17, 2021",Chicago ,Illinois,0,4,4,Four people were wounded in a drive-by shooting shortly after midnight on the Near West Side.
"November 15, 2021",New York City ,New York,0,4,4,Four men were shot outside of a bodega in Harlem.
"November 15, 2021",Aurora ,Colorado,0,6,6,Six teenagers were wounded in a drive-by shooting at a park located across from a high school.
"November 14, 2021",Philadelphia ,Pennsylvania,0,6,6,"Three men and three women were shot, one man critically."
"November 14, 2021",Columbia,Missouri,1,5,6,"Two men opened fire at each other at a lounge, wounding five. One of the shooters was killed by responding police."
"November 14, 2021",Chiloquin,Oregon,2,2,4,"Four people were shot, two of the victims fatally.  A man from Klamath Falls was arrested and charged with murder."
"November 14, 2021",Tucson ,Arizona,4,1,5,"Four men arrived at a trailer park and confronted a homeowner and a guest, leading to the homeowner shooting and killing the four men and the guest being injured by the four attackers."
"November 14, 2021",Troy ,Alabama,1,5,6,A man was killed and five others wounded at a gas station in the early morning.
"November 13, 2021",Winston-Salem ,North Carolina,0,4,4,Four people were wounded after several people opened fire at a party.
"November 13, 2021",Houma ,Louisiana,0,4,4,"Four people were wounded at a high school homecoming after-party, after multiple attendees began shooting."
"November 12, 2021",Richmond ,Virginia,2,2,4,Two children were killed and two adults wounded on the East End.
"November 12, 2021",Birmingham ,Alabama,2,2,4,"Two wounded were found outside a vehicle, where two were found deceased in the backseat. Several weapons were found in the vehicle."
"November 9, 2021",Rochester ,New York,0,4,4,Four teenagers were wounded in an evening shooting.
"November 9, 2021",Scotland,South Dakota,3,2,5,Three adults were killed and an adult and child were wounded after an argument escalated inside a home.
"November 9, 2021",Killona,Louisiana,1,4,5,A man was killed and three adults and a teenager wounded in an ambush-style shooting outside a grocery store.
"November 8, 2021",Philadelphia ,Pennsylvania,0,4,4,Three teenagers and an adult were wounded after three of them exited a local store in Feltonville and were chased down the street.
"November 7, 2021",Kenosha ,Wisconsin,1,3,4,A man was killed and three others wounded in the early morning.
"November 6, 2021",Oakley,California,2,2,4,Two people were killed and two wounded at a family birthday party.
"November 6, 2021",Marshall ,Texas,0,6,6,Six people were wounded in the early morning at a large community event.
"November 6, 2021",Highland,California,0,4,4,"Shortly after midnight a man opened fire at a local bar, wounding four."
"November 5, 2021",Oakland ,California,1,3,4,A man was killed and three wounded in a drive-by shooting in East Oakland.
"November 3, 2021",Des Moines ,Iowa,0,4,4,Four people were wounded in an evening shooting a block away from a middle school.
"November 3, 2021",Norfolk ,Virginia,3,2,5,A man killed three women and wounded two in a targeted domestic dispute. One of the wounded was targeted and the others attempted to help her.
"November 2, 2021",Mobile ,Alabama,0,4,4,A woman shot and wounded four in a bowling alley after a fight escalated.
"November 1, 2021",Orlando ,Florida,0,4,4,"After an online dispute, a person shot four people in Downtown Orlando."
"November 1, 2021",San Antonio ,Texas,0,4,4,Four people were wounded in an evening drive-by on the West Side.
"October 31, 2021",Flossmoor,Illinois,1,3,4,Four people were shot just after midnight on Halloween.
"October 31, 2021",Lakewood ,Colorado,2,2,4,"Four people were shot, two fatally."
"October 31, 2021",Houston ,Texas,1,9,10,A woman was shot and killed and nine injured at a large Halloween party of hundred people.
"October 31, 2021",Louisville ,Kentucky,2,2,4,Two cousins working as security were shot and killed. Two others were wounded.
"October 31, 2021",Fort Worth ,Texas,1,3,4,An 18-year-old was arrested after killing a man and wounding three others in a drive-by shooting.
"October 31, 2021",Joliet,Illinois,2,12,14,Two people were killed and several wounded after two men opened fire on a Halloween party.
"October 30, 2021",Gilroy,California,1,3,4,One person was killed and three wounded after a shooting at a house party. The party occurred at the home of a Gilroy councilwoman.
"October 30, 2021",Texarkana,Texas,1,9,10,A man was killed and several people wounded after a shooting at a Halloween party.
"October 30, 2021",Oklahoma City,Oklahoma,0,4,4,Four people were wounded in a residential area in the early morning.
"October 30, 2021",Decatur,Illinois,0,4,4,Four people were wounded at a large house party in the early morning.
"October 30, 2021",St. Petersburg ,Florida,1,4,5,A man was killed and four others wounded at an outdoor boxing match at the Skyway Plaza.
"October 30, 2021",Sacramento ,California,2,5,7,Two people were killed and five injured at a Halloween party that was held at a local banquet hall.
"October 29, 2021",Kalamazoo,Michigan,0,4,4,Four people were shot at a party inside an event center.
"October 29, 2021",Poughkeepsie,New York,0,5,5,Three people were wounded at a birthday party and two more were wounded as the tour bus transporting some of the wounded was later shot at.
"October 28, 2021",Las Vegas ,Nevada,0,4,4,Four people were wounded after an argument in an alley escalated.
"October 28, 2021",Nashville ,Tennessee,1,3,4,A man was killed and three wounded in a suspected robbery shortly before midnight.
"October 25, 2021",Boise,Idaho,3,4,7,"Two people, including a security guard, were shot and killed at a mall, and four others were wounded. The shooter was injured by responding officers and died the next day after being taken into custody."
"October 25, 2021",Memphis ,Tennessee,0,4,4,Three teenagers and an adult were wounded after a shooting near an elementary school.
"October 24, 2021",Gonzales,California,2,2,4,"Two people were killed, and two others injured at an off-roading event."
"October 24, 2021",Crenshaw,Mississippi,2,3,5,Two people were killed and three injured in a shooting on Jones Street.
"October 23, 2021",Florence,South Carolina,0,6,6,Six people were wounded in an early morning shooting at a local bar.
"October 23, 2021",Ontario,California,1,4,5,A teenager was killed and one adult and three juveniles wounded at a Halloween party.
"October 23, 2021",Fort Valley,Georgia,1,7,8,A man was killed and seven others wounded at an off-campus party about two blocks from Fort Valley State University.
"October 22, 2021",Chicago ,Illinois,0,5,5,Five people were wounded outside a Chatham liqueur store when a man opened fire and then fled.
"October 22, 2021",Renton,Washington,0,4,4,Four people were wounded in the parking lot of a banquet hall that was hosting a Halloween party.
"October 22, 2021",Baltimore ,Maryland,0,7,7,Five adults and two teenagers were wounded in a drive-by shooting.
"October 21, 2021",Tacoma ,Washington,4,0,4,Three adults were killed and a fourth later died at the hospital in a night time shooting.
"October 21, 2021",New York City ,New York,0,4,4,A gunman exited a subway station and shot four people in the Flatbush section of Brooklyn.
"October 20, 2021",Farwell,Michigan,4,0,4,"A woman shot and killed her father, sister and two workers at their home in the afternoon."
"October 19, 2021",Kenosha ,Wisconsin,3,2,5,"A man killed his roommate's teenage daughter and her boyfriend, and wounded his roommate and her 14-year-old son. He later killed himself."
"October 17, 2021",Houston ,Texas,0,5,5,Responding officers found an SUV in a ditch with bullet holes and blood near Winzer Park. Four adults and a juvenile were later identified at local hospitals although none had reached out to police.
"October 17, 2021",St. Louis ,Missouri,1,3,4,A 19-year-old was killed and three teenagers were wounded in the early morning in the Baden neighborhood.
"October 17, 2021",Pine Bluff ,Arkansas,0,4,4,Responding officers found four people wounded and shell casings around a car in the intersection.
"October 17, 2021",Colorado Springs ,Colorado,0,5,5,Five people were wounded outside a local bar after an unknown number of people opened fire.
"October 17, 2021",Grambling,Louisiana,1,7,8,A person was killed and seven others wounded at Grambling State University during a homecoming event in the early morning.
"October 17, 2021",Racine,Wisconsin,0,6,6,Six people were wounded at a one-year anniversary vigil for a man killed in the location. Neighbors refused to cooperate with police due to fear of retaliation.
"October 17, 2021",Pine Bluff ,Arkansas,1,7,8,"Gunfire erupted at a party hall wounding eleven and killing one, responding police opened fire on a man holding a gun and wounded him."
"October 17, 2021",Jackson,Mississippi,3,3,6,Three people were killed and three injured after a man opened fire inside a night club.
"October 16, 2021",Killeen,Texas,1,3,4,Four people were wounded in the parking lot of a club in the early morning. One of the wounded died two days later.
"October 15, 2021",Mobile ,Alabama,0,5,5,Five people were wounded at a high school football game.
"October 14, 2021",Minneapolis ,Minnesota,1,4,5,Responding police found five people wounded in Ventura Village.
"October 12, 2021",Naples,Florida,1,5,6,A man was killed and three others wounded after two shooters opened fire on a Naples Park home. The shooters were also wounded.
"October 12, 2021",Meridian,Mississippi,3,1,4,Three adults were killed in a home and an infant was found wounded.
"October 11, 2021",South Fulton,Georgia,0,6,6,"Three wounded were found by responding officers, a fourth flagged down officers and two others were found at local hospitals."
"October 10, 2021",McColl,South Carolina,2,3,5,Two people were killed and three injured in a shooting near a nightclub.
"October 10, 2021",Saint Paul ,Minnesota,1,14,15,One person was killed and 14 injured in a shootout at a bar.
"October 10, 2021",Sioux City ,Iowa,0,4,4,Four bystanders were wounded at an after hours club  in an early morning targeted shooting.
"October 10, 2021",Chicago ,Illinois,1,4,5,A man was killed and four others injured in an early morning drive-by outside a Wicker Park nightclub.
"October 10, 2021",Dover ,Delaware,1,4,5,A man was killed and four others wounded after a drive-by shooting at a house party in the early morning.
"October 9, 2021",Dallas ,Texas,0,4,4,Three 18-year-olds and a 16-year-old were wounded in South Dallas.
"October 9, 2021",Albany ,New York,1,6,7,Responding officers found one man deceased and six wounded were later found in local hospitals.
"October 9, 2021",Denver ,Colorado,1,3,4,Responding officers found one man killed and three wounded.
"October 9, 2021",Livingston,Louisiana,2,4,6,Two people were killed and three others wounded after a man went on a multi-parish shooting spree. He was later arrested with a self-inflicted gunshot wound and a dog bite.
"October 8, 2021",Baltimore ,Maryland,0,4,4,Four men were wounded in Southeast Baltimore in the afternoon.
"October 8, 2021","Washington, D.C. ","Washington, D.C.",1,3,4,"Responding police discovered a deceased man and another wounded, with two more identified at local hospitals."
"October 7, 2021",Milwaukee ,Wisconsin,3,1,4,Three adults were killed and another wounded after two men came back thirty minutes after an argument over parking and opened fire.
"October 7, 2021",Chicago ,Illinois,0,4,4,Two teenagers and two adults were wounded in the early morning after someone opened fire on another car on the Near North Side.
"October 7, 2021",Milwaukee ,Wisconsin,0,5,5,Five people were wounded when a police officer opened fire on an armed suspect who returned fire before he fled the area.
"October 6, 2021",Baltimore ,Maryland,1,5,6,A woman was killed and five people were wounded in East Baltimore.
"October 6, 2021",Cleveland ,Ohio,0,4,4,Four adults were wounded at a music studio shortly before midnight.
"October 6, 2021",New Orleans ,Louisiana,1,3,4,A man was killed and three others wounded after four people exited a vehicle and opened fire on them. The victims were doing work in a parking lot behind a church.
"October 5, 2021",Rockford,Illinois,1,3,4,Responding police found four injured due to an evening shooting and one later died at the hospital.
"October 5, 2021",Saint Paul ,Minnesota,0,4,4,A teen shot four people inside a vehicle at an intersection.
"October 4, 2021",Minneapolis ,Minnesota,0,4,4,Three men and a juvenile were wounded at a local gas station.
"October 3, 2021",Bishopville,South Carolina,1,4,5,A man was killed and four others wounded in an early morning drive by shooting at a Waffle House.
"October 2, 2021",Aurora ,Colorado,1,3,4,"A man was killed and two adults and a teenager were wounded at an early morning hotel party,"
"October 2, 2021",San Antonio ,Texas,1,3,4,A man was killed and two adults and a teenager wounded at an apartment complex.
"October 1, 2021","Washington, D.C. ","Washington, D.C.",1,5,6,Five adults were wounded and one killed in Southwest D.C. late at night.
"October 1, 2021",Cedar Rapids,Iowa,0,6,6,Five adults and a teenager were wounded after an argument at a hotel birthday party celebration escalated.
"September 29, 2021",Chicago ,Illinois,0,5,5,Five bystanders were wounded when passengers of two separate cars opened fire on one another while driving down a Fulton River District road.
"September 28, 2021",Chicago ,Illinois,1,3,4,A woman was killed and three others injured in the early morning after a man opened fire on a car in Park Manor.
"September 28, 2021",Minneapolis ,Minnesota,1,3,4,A man was fatally shot and three others injured in a gunfire incident on Bloomington Avenue in the Phillips neighborhood.
"September 27, 2021",Chicago ,Illinois,1,3,4,A man was killed and two adults and a teenager wounded in Humboldt Park on the Northwest Side.
"September 27, 2021",New York City ,New York,0,5,5,A man opened fire outside a club in Inwood in Upper Manhattan wounding four. Responding officers opened fire and wounded him.
"September 26, 2021",Des Moines ,Washington,3,3,6,Two groups of people began fighting in a bar and others joined in as it spilled into the parking lot. Some fighters got into cars and opened fire while driving away killing three and wounding three others.
"September 26, 2021",Chicago ,Illinois,0,6,6,Six adults were wounded in East Garfield Park on the West Side in the early morning.
"September 26, 2021",Oakland ,California,0,4,4,Four people including a teenager were wounded in East Oakland.
